Epoch, Wall Time, Epoch time, Train_loss, Train_top_1, Test_loss, Test_top_1
1,7.204,7.204,2.6669,18.468,2.00756,24.08,
2,14.314,7.11,1.79323,30.222,1.67547,36.99,
3,21.329,7.015,1.54526,41.744,1.47812,45.13,
4,28.358,7.029,1.35816,49.872,1.34297,50.84,
5,35.43,7.072,1.23427,55.274,1.17914,58.11,
6,42.514,7.084,1.12224,59.944,1.07401,62.81,
7,49.595,7.081,1.01388,64.076,1.03762,63.83,
8,56.685,7.09,0.913051,67.842,0.998237,64.98,
9,63.804,7.119,0.823862,70.872,0.966156,67.43,
10,70.935,7.131,0.75043,73.55,0.98529,66.99,
11,78.032,7.097,0.683659,76.044,0.938056,67.72,
12,85.13,7.098,0.618226,78.192,0.930326,69.6,
13,92.263,7.133,0.561631,80.38,0.99637,69.03,
14,99.39,7.127,0.513965,81.978,0.977397,69.88,
15,106.539,7.149,0.447753,84.528,0.954724,70.26,
16,113.713,7.174,0.400878,86.128,1.01723,70.05,
17,120.861,7.148,0.358294,87.474,1.06337,69.1,
18,128.017,7.156,0.314762,89.102,1.10216,69.56,
19,135.159,7.142,0.290127,89.898,1.05061,71.43,
20,142.314,7.155,0.261475,90.832,1.07839,69,
21,149.487,7.173,0.234308,91.806,1.23385,69.21,
22,156.662,7.175,0.2233,92.244,1.14311,70.16,
23,163.902,7.24,0.203147,93.05,1.21778,70.28,
24,171.096,7.194,0.186323,93.414,1.33463,68.78,
25,178.372,7.276,0.177416,93.806,1.17039,70.77,
26,185.676,7.304,0.162868,94.374,1.17468,71.26,
27,192.978,7.302,0.160496,94.466,1.27659,70.77,
28,200.326,7.348,0.160977,94.368,1.30822,69.46,
29,207.682,7.356,0.145637,95.038,1.30702,69.82,
30,214.995,7.313,0.136015,95.306,1.30553,69.81,
31,222.295,7.3,0.13475,95.366,1.20095,71.61,
32,229.645,7.35,0.130298,95.51,1.28833,70.74,
33,236.887,7.242,0.1276,95.64,1.31483,70.44,
34,244.284,7.397,0.125286,95.662,1.34822,69.79,
35,251.598,7.314,0.114515,96.002,1.36392,70.6,
36,258.874,7.276,0.123379,95.754,1.26917,70.93,
37,266.444,7.57,0.112962,96.068,1.37413,70.72,
38,273.848,7.404,0.115074,96.044,1.38846,69.05,
39,281.337,7.489,0.116899,95.98,1.33343,70.79,
40,288.648,7.311,0.113137,96.156,1.3021,70.39,
41,295.984,7.336,0.111241,96.232,1.31227,70.98,
42,303.299,7.315,0.104555,96.392,1.33229,71.12,
43,310.624,7.325,0.111851,96.096,1.2713,70.63,
44,317.843,7.219,0.100955,96.59,1.31514,70.45,
45,325.098,7.255,0.107454,96.27,1.26345,72.05,
46,332.331,7.233,0.0992747,96.662,1.32706,70.92,
47,339.578,7.247,0.104202,96.51,1.22526,71.9,
48,346.811,7.233,0.0994201,96.544,1.31636,71.49,
49,354.119,7.308,0.107042,96.322,1.26658,71.66,
50,361.814,7.695,0.0948172,96.684,1.34854,70.44,
Latency,3.31 in ms
