Epoch, Wall Time, Epoch time, Train_loss, Train_top_1, Test_loss, Test_top_1
1,28.9698952,28.9698952,1.802349239,34.558,1.501006033,44.3
2,54.55092973,25.58103454,1.348463127,50.766,1.175056051,57.33
3,80.18470186,25.63377213,1.069960624,61.828,0.932725742,67.15
4,105.9398638,25.75516193,0.875627337,68.82,0.798373176,72.43
5,131.7217988,25.78193499,0.733887908,74.352,0.695727239,76.33
6,157.3112765,25.58947772,0.627986104,78.148,0.646854867,78.35
7,183.0945524,25.78327589,0.558190201,80.686,0.641054595,78.9
8,209.0504045,25.9558521,0.498015945,82.82,0.615390139,80.48
9,234.6614438,25.61103934,0.45478673,84.182,0.483962259,83.74
10,260.4039071,25.74246328,0.420361223,85.396,0.489809831,83.78
11,286.0617622,25.65785506,0.383793316,86.85,0.485655903,84.29
12,311.6231927,25.56143051,0.357826681,87.486,0.454775181,84.88
13,337.3727338,25.74954106,0.332126052,88.562,0.453971957,85.14
14,363.0245043,25.65177054,0.309639216,89.242,0.430156374,86.01
15,388.6379894,25.61348512,0.291391203,89.758,0.447312381,85.63
16,414.4904956,25.85250615,0.273349005,90.496,0.388161545,87.53
17,440.3928579,25.90236232,0.259947223,90.888,0.389005149,87.39
18,466.1605682,25.76771034,0.241237811,91.61,0.3965321,87.27
19,491.8642453,25.70367707,0.226761758,92.062,0.425936933,86.87
20,517.693805,25.82955974,0.223514615,92.212,0.42265516,86.7
21,543.3767812,25.68297613,0.207919427,92.682,0.407423191,87.71
22,569.3560501,25.97926893,0.201413623,92.876,0.3791939,88.09
23,594.9407318,25.58468172,0.191056182,93.31,0.45558374,87
24,620.7365023,25.7957705,0.187762385,93.338,0.386894257,87.81
25,646.6173494,25.88084706,0.177395683,93.7,0.414144976,87.35
26,672.414629,25.79727965,0.1731154,93.84,0.408787912,87.7
27,698.182237,25.76760802,0.16833922,94.082,0.403996168,88.21
28,724.1355247,25.95328768,0.161334499,94.286,0.407406853,88
29,749.8675032,25.73197848,0.154781753,94.636,0.361876954,89.54
30,775.7432853,25.87578213,0.153565754,94.52,0.383071693,88.99
31,801.4545216,25.71123632,0.147984865,94.828,0.436378975,87.62
32,827.0580943,25.60357269,0.143009852,94.988,0.412679825,88.34
33,852.6963935,25.63829916,0.14305294,95.03,0.443434226,87.57
34,878.2938134,25.59741992,0.13884615,95.126,0.422506359,87.93
35,904.113608,25.8197946,0.135414166,95.184,0.423292741,88.47
36,929.7757161,25.66210811,0.137267245,95.124,0.386005476,89
37,955.6120699,25.83635376,0.129554251,95.472,0.417346595,88.04
38,981.2166365,25.60456658,0.130453029,95.322,0.378648531,89.19
39,1007.09737,25.88073394,0.129550078,95.426,0.395837086,89.07
40,1032.963159,25.86578854,0.122923532,95.754,0.462757367,87.84
41,1058.614473,25.65131396,0.125165238,95.58,0.431292559,88.35
42,1084.287313,25.67283994,0.119732937,95.724,0.396639134,89
43,1110.083706,25.79639273,0.118726593,95.9,0.443885859,88.49
44,1135.510588,25.42688266,0.117836961,95.776,0.440254958,87.96
45,1161.016891,25.50630268,0.116926628,95.848,0.445415473,88.89
46,1186.581042,25.56415069,0.116775922,95.824,0.465711792,87.8
47,1212.120443,25.53940161,0.10944744,96.198,0.419614327,88.26
48,1237.898292,25.77784835,0.112627779,96.046,0.4477091,88.33
49,1263.567233,25.66894118,0.105326721,96.36,0.370223637,89.94
50,1289.118005,25.55077185,0.107002093,96.238,0.449514976,88.41
,,,,,,
latency,2.30788256,in ms,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,25.77832627,,
